TimelineID,Time,WeaponID,WeaponName,WeaponSide,ParentFiringUnitID,ParentFiringUnitName,TargetID,TargetName,TargetSide,TargetLongitude,TargetLatitude,TargetAltitude_ASL_m,TargetAltitude_AGL_m,DistanceFromFiringUnit_Horiz,Result,EndgameMessage
"The unique ID of the simulation run under which the event occured","The scenario time at which the event occured","WeaponID","WeaponName","WeaponSide","The unique ID of the unit that fired the weapon","The actual name of the unit that fired the weapon","The unique ID of the target unit at which the weapon is attacking","The actual name of the target unit which the weapon is attacking","The name of the side to which the attacked unit belongs","The longitude of the target unit","The latitude of the target unit","The barometric (above mean surface level) altitude of the attacked unit, in meters","The actual above-ground altitude, in meters, of the attacked unit","The horizontal range from the weapon's firing unit to the endgame location, in nautical miles","The result of the endgame sequence: Direct hit, miss or defeated by point defences","The generated logged message that describes the endgame sequence"
42,02:37:01.05,228,sr_sam_telar-13_sam_2,red,161,sr_sam_telar-13,Unknown,sea_shooter_wpn3_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,2685.09,POINTDEF:FAILURE,AGL limit encountered
42,02:37:04.08,229,sr_sam_telar-14_sam_1,red,162,sr_sam_telar-14,Unknown,sea_shooter_wpn3_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,2686.73,POINTDEF:FAILURE,Coast time exceeded
42,02:37:04.68,230,sr_sam_telar-14_sam_2,red,162,sr_sam_telar-14,Unknown,sea_shooter_wpn3_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,2686.73,POINTDEF:FAILURE,Coast time exceeded
42,02:38:20.45,231,sr_sam_telar-36_sam_3,red,184,sr_sam_telar-36,208,sea_shooter_wpn2_1,blue,-117.872,34.8667,152.389,152.389,7.36577,HIT,Target proximity
42,02:38:22.97,232,sr_sam_telar-36_sam_4,red,184,sr_sam_telar-36,Unknown,sea_shooter_wpn2_1,Unknown,0,90,-6.35675e+06,-6.35675e+06,3311.62,POINTDEF:FAILURE,AGL limit encountered
42,02:38:26.49,234,sr_sam_telar-37_sam_4,red,185,sr_sam_telar-37,Unknown,sea_shooter_wpn2_1,Unknown,0,90,-6.35675e+06,-6.35675e+06,3315.19,POINTDEF:FAILURE,Coast time exceeded
42,02:38:26.91,233,sr_sam_telar-37_sam_3,red,185,sr_sam_telar-37,Unknown,sea_shooter_wpn2_1,Unknown,0,90,-6.35675e+06,-6.35675e+06,3315.19,POINTDEF:FAILURE,Coast time exceeded
42,02:38:32.90,202,sea_shooter_wpn4_3,blue,192,sea_shooter,102,mr_sam_acq_radar_5,red,-122.15,43.5225,0.999744,0.999744,611.273,POINTDEF:FAILURE,AGL limit encountered
42,02:40:58.18,236,sr_sam_telar-35_sam_1,red,183,sr_sam_telar-35,209,sea_shooter_wpn1_2,blue,-119.143,35.7649,152.4,152.4,8.15517,POINTDEF:FAILURE,Minimum speed encountered
42,02:40:59.45,237,sr_sam_telar-35_sam_2,red,183,sr_sam_telar-35,209,sea_shooter_wpn1_2,blue,-119.139,35.7648,152.382,152.382,8.0595,POINTDEF:FAILURE,Target proximity
42,02:41:15.02,238,sr_sam_telar-34_sam_1,red,182,sr_sam_telar-34,209,sea_shooter_wpn1_2,blue,-119.092,35.7637,152.395,152.395,7.66006,HIT,Target proximity
42,02:41:17.08,239,sr_sam_telar-34_sam_2,red,182,sr_sam_telar-34,Unknown,sea_shooter_wpn1_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3254.33,POINTDEF:FAILURE,AGL limit encountered
42,02:41:21.09,241,sr_sam_telar-35_sam_4,red,183,sr_sam_telar-35,Unknown,sea_shooter_wpn1_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3261.23,POINTDEF:FAILURE,Coast time exceeded
42,02:41:21.24,240,sr_sam_telar-35_sam_3,red,183,sr_sam_telar-35,Unknown,sea_shooter_wpn1_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3261.23,POINTDEF:FAILURE,Coast time exceeded
42,03:15:44.16,245,sr_sam_telar-6_sam_3,red,154,sr_sam_telar-6,216,sea_shooter_wpn2_2,blue,-123.11,47.1002,152.403,152.403,8.11379,POINTDEF:FAILURE,Minimum speed encountered
42,03:15:46.66,246,sr_sam_telar-6_sam_4,red,154,sr_sam_telar-6,216,sea_shooter_wpn2_2,blue,-123.105,47.1058,152.372,152.372,7.90737,POINTDEF:FAILURE,Target proximity
42,03:16:20.74,247,sr_sam_telar-5_sam_1,red,153,sr_sam_telar-5,216,sea_shooter_wpn2_2,blue,-123.05,47.1781,152.404,152.404,7.89444,HIT,Target proximity
42,03:16:25.43,248,sr_sam_telar-5_sam_2,red,153,sr_sam_telar-5,Unknown,sea_shooter_wpn2_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,2564.47,POINTDEF:FAILURE,AGL limit encountered
42,03:16:26.79,249,sr_sam_telar-6_sam_5,red,154,sr_sam_telar-6,Unknown,sea_shooter_wpn2_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,2573.05,POINTDEF:FAILURE,Coast time exceeded
42,03:16:26.89,250,sr_sam_telar-6_sam_6,red,154,sr_sam_telar-6,Unknown,sea_shooter_wpn2_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,2573.05,POINTDEF:FAILURE,Coast time exceeded
42,03:26:01.68,252,sr_sam_telar-41_sam_1,red,189,sr_sam_telar-41,222,sea_shooter_wpn4_4,blue,-116.68,33.8064,152.366,152.366,7.78843,POINTDEF:FAILURE,Target proximity
42,03:26:03.48,253,sr_sam_telar-41_sam_2,red,189,sr_sam_telar-41,222,sea_shooter_wpn4_4,blue,-116.674,33.8054,152.374,152.374,7.66262,POINTDEF:FAILURE,Target proximity
42,03:27:00.45,254,sr_sam_telar-41_sam_3,red,189,sr_sam_telar-41,222,sea_shooter_wpn4_4,blue,-116.507,33.7747,152.383,152.383,8.43675,POINTDEF:FAILURE,Minimum speed encountered
42,03:27:05.15,255,sr_sam_telar-41_sam_4,red,189,sr_sam_telar-41,222,sea_shooter_wpn4_4,blue,-116.494,33.7721,152.418,152.418,8.87192,POINTDEF:FAILURE,Minimum speed encountered
42,03:28:32.90,221,sea_shooter_wpn2_3,blue,192,sea_shooter,54,lr_sam_launcher_3-3,red,-122.335,42.5773,0.999744,0.999744,563.835,POINTDEF:FAILURE,AGL limit encountered
42,03:30:45.10,256,sr_sam_telar-29_sam_3,red,177,sr_sam_telar-29,235,sea_shooter_wpn4_5,blue,-121.706,38.6442,152.452,152.452,7.64592,POINTDEF:FAILURE,Target proximity
42,03:30:50.39,258,sr_sam_telar-29_sam_4,red,177,sr_sam_telar-29,235,sea_shooter_wpn4_5,blue,-121.69,38.6491,152.405,152.405,7.25571,POINTDEF:FAILURE,Minimum speed encountered
42,03:30:52.06,259,sr_sam_telar-27_sam_3,red,175,sr_sam_telar-27,235,sea_shooter_wpn4_5,blue,-121.685,38.6506,152.411,152.411,7.67519,HIT,Target proximity
42,03:30:52.85,260,sr_sam_telar-28_sam_3,red,176,sr_sam_telar-28,Unknown,sea_shooter_wpn4_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,AGL limit encountered
42,03:30:54.61,261,sr_sam_telar-28_sam_4,red,176,sr_sam_telar-28,Unknown,sea_shooter_wpn4_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,AGL limit encountered
42,03:30:55.05,262,sr_sam_telar-27_sam_4,red,175,sr_sam_telar-27,Unknown,sea_shooter_wpn4_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,AGL limit encountered
